PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,H1,H1 length,No. of H1,Is indexable page
21,https://createmy-qr.com/ms/tempahan-penjana-kod-qr-percuma-dalam-talian,"Penjana Kod QR Tempahan - Percuma & Tersuai | CreateMy-QR
Tempahan - Penjana Kod QR Percuma Dalam Talian - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Tempahan Kod QR
Kod QR Yang Sebenarnya Berfungsi","15
32",2,true
21,https://createmy-qr.com/de/audio-kostenloser-qr-code-generator-online,"Audio QR-Code-Generator – kostenlos und benutzerdefiniert | CreateMy-QR
Audio - Kostenloser QR-Code Generator Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Audio QR-Code
QR-Codes, Die Wirklich Funktionieren","13
36",2,true
21,https://createmy-qr.com/bn/venmo-phri-anlaain-kiuaar-kodd-jenaarettr,"ভেনমো QR কোড জেনারেটর - বিনামূল্যে এবং কাস্টম | CreateMy-QR
ভেনমো - ফ্রি অনলাইন কিউআর কোড জেনারেটর - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"ভেনমো QR কোড
QR কোড যা আসলে কাজ করে","12
22",2,true
21,https://createmy-qr.com/no/snapchat-gratis-qr-kode-generator-online,"Snapchat QR Code Generator - Gratis og tilpasset | CreateMy-QR
Snapchat - Gratis QR-kode Generator Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Snapchat QR-kode
QR-koder som faktisk fungerer","16
29",2,true
21,https://createmy-qr.com/it/amazon-generatore-di-codici-qr-gratis-online,"Generatore di codici QR Amazzonia - Gratuito e personalizzato | CreateMy-QR
Amazzonia - Generatore di Codici QR Gratis Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Amazzonia Codice QR
Codici QR Che Funzionano Davvero","19
32",2,true
21,https://createmy-qr.com/bn/paypal-phri-anlaain-kiuaar-kodd-jenaarettr,"পেপ্যাল ​​ QR কোড জেনারেটর - বিনামূল্যে এবং কাস্টম | CreateMy-QR
পেপ্যাল ​​ - ফ্রি অনলাইন কিউআর কোড জেনারেটর - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"পেপ্যাল ​​ QR কোড
QR কোড যা আসলে কাজ করে","17
22",2,true
21,https://createmy-qr.com/bn/google-forms-phri-anlaain-kiuaar-kodd-jenaarettr,"Google Forms QR কোড জেনারেটর - বিনামূল্যে এবং কাস্টম | CreateMy-QR
Google Forms - ফ্রি অনলাইন কিউআর কোড জেনারেটর - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Google Forms QR কোড
QR কোড যা আসলে কাজ করে","19
22",2,true
21,https://createmy-qr.com/zh/pdf-mian-fei-zai-xian-er-wei-ma-sheng-cheng-qi,"PDF QR 代码生成器 - 免费和自定义 | CreateMy-QR
PDF - 免费在线二维码生成器 - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"PDF二维码
真正有效的二维码","6
8",2,true
21,https://createmy-qr.com/sv/video-gratis-qr-kod-generator-online,"Video QR Code Generator - Gratis & anpassad | CreateMy-QR
Video - Gratis QR-kod Generator Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Video QR-kod
QR-koder Som Faktiskt Fungerar","12
30",2,true
21,https://createmy-qr.com/fi/pdf-ilmainen-qr-koodigeneraattori-netissa,"PDF QR-koodigeneraattori - ilmainen ja räätälöity | CreateMy-QR
PDF - Ilmainen QR-koodigeneraattori Netissä - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"PDF QR-koodi
QR-koodit, jotka todella toimivat","12
33",2,true
21,https://createmy-qr.com/ar/mlf-brks-mwld-rmz-lstjb-lsryaa-mjny,"ملف / بركاس QR Code Generator - مجاني ومخصص | CreateMy-QR
ملف / بركاس - مولد رمز الاستجابة السريعة مجاني - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"ملف / بركاس رمز QR
رموز QR تعمل فعلاً","18
18",2,true
21,https://createmy-qr.com/sv/bild-gratis-qr-kod-generator-online,"Bild QR Code Generator - Gratis & anpassad | CreateMy-QR
Bild - Gratis QR-kod Generator Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Bild QR-kod
QR-koder Som Faktiskt Fungerar","11
30",2,true
21,https://createmy-qr.com/zh/google-review-mian-fei-zai-xian-er-wei-ma-sheng-cheng-qi,"谷歌评论 QR 代码生成器 - 免费和自定义 | CreateMy-QR
谷歌评论 - 免费在线二维码生成器 - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"谷歌评论二维码
真正有效的二维码","7
8",2,true
21,https://createmy-qr.com/pl/discord-darmowy-generator-kodow-qr-online,"Generator kodów QR Niezgoda — bezpłatny i niestandardowy | CreateMy-QR
Niezgoda - Darmowy Generator Kodów QR Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Niezgoda Kod QR
Welcome to #welcome!","15
20",2,true
21,https://createmy-qr.com/cs/pdf-zdarma-online-generator-qr-kodu,"PDF generátor QR kódu – zdarma a na míru | CreateMy-QR
PDF - Zdarma Online Generátor QR Kódů - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"PDF QR kód
QR kódy, které skutečně fungují","10
31",2,true
21,https://createmy-qr.com/zh/x-tui-te-mian-fei-zai-xian-er-wei-ma-sheng-cheng-qi,"X（推特） QR 代码生成器 - 免费和自定义 | CreateMy-QR
X（推特） - 免费在线二维码生成器 - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"X（推特）二维码
X（推特） Explorer","8
14",2,true
21,https://createmy-qr.com/sv/google-forms-gratis-qr-kod-generator-online,"Google Formulär QR Code Generator - Gratis & anpassad | CreateMy-QR
Google Formulär - Gratis QR-kod Generator Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Google Formulär QR-kod
QR-koder Som Faktiskt Fungerar","22
30",2,true
21,https://createmy-qr.com/cs/zvuk-podcast-zdarma-online-generator-qr-kodu,"Zvuk / podcast generátor QR kódu – zdarma a na míru | CreateMy-QR
Zvuk / podcast - Zdarma Online Generátor QR Kódů - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Zvuk / podcast QR kód
QR kódy, které skutečně fungují","21
31",2,true
21,https://createmy-qr.com/hi/buking-muph-t-onnlaain-kyuuaar-kodd-jnrettr,"बुकिंग QR कोड जेनरेटर - मुफ़्त और कस्टम | CreateMy-QR
बुकिंग - मुफ़्त ऑनलाइन क्यूआर कोड जनरेटर - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"बुकिंग क्यूआर कोड
QR कोड जो वास्तव में काम करते हैं","17
33",2,true
21,https://createmy-qr.com/fr/google-review-generateur-de-code-qr-gratuit-en-ligne,"Générateur de code QR Avis Google - Gratuit et personnalisé | CreateMy-QR
Avis Google - Générateur de Code QR Gratuit en Ligne - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Avis Google Code QR
Des QR Codes Qui Fonctionnent Vraiment","19
38",2,true
21,https://createmy-qr.com/ja/bideo-wu-liao-qrkodozuo-cheng-zienereta,"ビデオ QR コード ジェネレーター - 無料 & カスタム | CreateMy-QR
ビデオ - 無料QRコード作成・ジェネレーター - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"ビデオ QR コード
本当に機能するQRコード","10
12",2,true
21,https://createmy-qr.com/hi/google-forms-muph-t-onnlaain-kyuuaar-kodd-jnrettr,"गूगल फ़ॉर्म QR कोड जेनरेटर - मुफ़्त और कस्टम | CreateMy-QR
गूगल फ़ॉर्म - मुफ़्त ऑनलाइन क्यूआर कोड जनरेटर - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"गूगल फ़ॉर्म क्यूआर कोड
QR कोड जो वास्तव में काम करते हैं","22
33",2,true
21,https://createmy-qr.com/tl/google-forms-libreng-online-qr-code-generator,"Google Forms QR Code Generator - Libre at Custom | CreateMy-QR
Google Forms - Libreng Online QR Code Generator - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Google Forms QR Code
Mga QR Code na Talagang Gumagana","20
32",2,true
21,https://createmy-qr.com/ko/google-review-muryo-onrain-qr-kodeu-saengseonggi,"구글 리뷰 QR 코드 생성기 - 무료 및 사용자 정의 | CreateMy-QR
구글 리뷰 - 무료 온라인 QR 코드 생성기 - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"구글 리뷰 QR 코드
실제로 작동하는 QR 코드","11
14",2,true
21,https://createmy-qr.com/es/discord-generador-de-codigos-qr-gratis-online,"Generador de códigos QR Discordia: gratuito y personalizado | CreateMy-QR
Discordia - Generador de Códigos QR Gratis Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Discordia Código QR
Welcome to #welcome!","19
20",2,true
21,https://createmy-qr.com/fr/snapchat-generateur-de-code-qr-gratuit-en-ligne,"Générateur de code QR Snapchat - Gratuit et personnalisé | CreateMy-QR
Snapchat - Générateur de Code QR Gratuit en Ligne - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Snapchat Code QR
Des QR Codes Qui Fonctionnent Vraiment","16
38",2,true
21,https://createmy-qr.com/ru/google-forms-besplatnyy-generator-qr-kodov-onlayn,"Google Формы Генератор QR-кодов — бесплатный и настраиваемый | CreateMy-QR
Google Формы - Бесплатный генератор QR-кодов онлайн - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Google Формы QR-код
QR-Коды, Которые Действительно Работают","19
39",2,true
21,https://createmy-qr.com/el/x-twitter-dorean-dimioyrgia-qr-code-online,"X (Twitter) QR Code Generator - Δωρεάν & Προσαρμοσμένο | CreateMy-QR
X (Twitter) - Δωρεάν Δημιουργία QR Code Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"X (Twitter) Κωδικός QR
X (Twitter) Explorer","22
20",2,true
21,https://createmy-qr.com/amazon-qr-code-generator,"Amazon QR Code Generator - Free & Custom | CreateMy-QR
Amazon - Free QR Code Generator Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Amazon QR Code
Premium QR Codes","14
16",2,true
21,https://createmy-qr.com/fr/pdf-generateur-de-code-qr-gratuit-en-ligne,"Générateur de code QR PDF - Gratuit et personnalisé | CreateMy-QR
PDF - Générateur de Code QR Gratuit en Ligne - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"PDF Code QR
Des QR Codes Qui Fonctionnent Vraiment","11
38",2,true
21,https://createmy-qr.com/tr/rezervasyon-ucretsiz-cevrimici-qr-kod-olusturucu,"Rezervasyon QR Kod Oluşturucu - Ücretsiz ve Özel | CreateMy-QR
Rezervasyon - Ücretsiz Çevrimiçi QR Kod Oluşturucu - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Rezervasyon QR Kodu
Gerçekten Çalışan QR Kodlar","19
27",2,true
21,https://createmy-qr.com/vi/amazon-tao-ma-qr-mien-phi-truc-tuyen,"Trình tạo mã QR Amazon - Miễn phí & Tùy chỉnh | CreateMy-QR
Amazon - Tạo Mã QR Miễn Phí Trực Tuyến - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Amazon Mã QR
Mã QR Thực Sự Hoạt Động","12
23",2,true
21,https://createmy-qr.com/tr/video-ucretsiz-cevrimici-qr-kod-olusturucu,"Video QR Kod Oluşturucu - Ücretsiz ve Özel | CreateMy-QR
Video - Ücretsiz Çevrimiçi QR Kod Oluşturucu - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Video QR Kodu
Gerçekten Çalışan QR Kodlar","13
27",2,true
21,https://createmy-qr.com/da/billede-gratis-qr-kode-generator-online,"Billede QR Code Generator - Gratis og brugerdefineret | CreateMy-QR
Billede - Gratis QR Kode Generator Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Billede QR-kode
QR-koder, der faktisk virker","15
28",2,true
21,https://createmy-qr.com/ro/google-review-generator-de-coduri-qr-gratuit-online,"Google Review QR Code Generator - Gratuit și personalizat | CreateMy-QR
Google Review - Generator de Coduri QR Gratuit Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Google Review Cod QR
Coduri QR care funcționează de fapt","20
35",2,true
21,https://createmy-qr.com/it/immagine-generatore-di-codici-qr-gratis-online,"Generatore di codici QR Immagine - Gratuito e personalizzato | CreateMy-QR
Immagine - Generatore di Codici QR Gratis Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Immagine Codice QR
Codici QR Che Funzionano Davvero","18
32",2,true
21,https://createmy-qr.com/de/x-twitter-kostenloser-qr-code-generator-online,"X (Twitter) QR-Code-Generator – kostenlos und benutzerdefiniert | CreateMy-QR
X (Twitter) - Kostenloser QR-Code Generator Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"X (Twitter) QR-Code
X (Twitter) Explorer","19
20",2,true
21,https://createmy-qr.com/no/venmo-gratis-qr-kode-generator-online,"Venmo QR Code Generator - Gratis og tilpasset | CreateMy-QR
Venmo - Gratis QR-kode Generator Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Venmo QR-kode
QR-koder som faktisk fungerer","13
29",2,true
